bare	accented	translations_en	translations_de
аж	аж		doch, denn, sage und schreibe; sogar
подобно	подо'бно	like	ähnlich
семьдесят	се'мьдесят	seventy	siebzig
военно	военно	militarily	kriegerisch
всюду	всю'ду	everywhere	überall
наружу	нару'жу	outside	nach außen
свободно	свобо'дно	freely; easily	frei, unbesetzt, leer, freizügig (locker, ungehemmt), fließend (Sprache)
недолго	недо'лго	not long	nicht lange
непосредственно	непосре'дственно	immediately, directly	unmittelbar, direkt, natürlich, unbefangen
нехорошо	нехорошо'	it is bad, it is wrong, badly	nicht gut, schlecht
нарочно	наро'чно	on purpose	absichtlich, mit Absicht, eigens, extra, zum Spaß
плотно	пло'тно	close, tightly	dicht, fest, robust, stämmig, kräftig, reichlich
вначале	внача'ле	at first, in the beginning	anfangs
растерянно	расте'рянно	perplexedly	fassungslos, verlegen
неприятно	неприя'тно	it is unpleasant, unpleasantly	unangenehm, peinlich, ärgerlich
пешком	пешко'м	on foot, afoot	zu Fuß
неудобно	неудо'бно	it is inconvenient, uncomfortably	unbequem, ungünstig, es ist unbequem, es ist ungünstig, es ist peinlich, es ist nicht angebracht, es schickt sich nicht
безусловно	безусло'вно	undoubtedly, absolutely, unconditionally, there is no doubt that, of course, certainly	unbedingt, zweifellos
соответственно	соотве'тственно	accordingly, correspondingly, conformably, according to	gemäß / entsprechend; beziehungsweise
стремительно	стреми'тельно	Swiftly	ungestüm, rasch, vehement
обидно	оби'дно	it is a pity, offensively	bitter, schmerzlich, verletzend, kränkend
откровенно	открове'нно	frankly, candidly, openly	offen
поверх	пове'рх	over	über, oberhalb
мк	мк		Mikrometer; Seefahrtfachschule; Millikelvin; Magnetkarte; Magnetkurs; Tonbandkassette; Kleinkaliber-
неподвижно	неподви'жно	motionless, fast	unbeweglich, regungslos, starr
некого	не'кого	there is nobody one can	niemanden
направо	напра'во	to the right	nach rechts, rechts
налево	нале'во	to the left, on the side	nach links, links
ежели	е'жели	if	sofern, wenn
сего	сего	this	siehe сей
опасно	опа'сно	dangerously, perilously	gefährlich, es ist gefährlich
светло	светло'	it is light, brightly	es ist hell
отдельно	отде'льно	separately	extra; getrennt, gesondert
подробно	подро'бно	in detail, at length, minutely	ausführlich, eingehend; detailliert
грубо	гру'бо	roughly, coarsely, rudely, crudely	grob, barsch, rauh, hart
небрежно	небре'жно	casually, carelessly, negligently	nachlässig, liederlich, lässig; achtlos
нисколько	ниско'лько	not at all, not in the least, none at all	gar nicht, nicht im geringsten, durchaus nicht
торжественно	торже'ственно	solemnly	feierlich, festlich, pompös
заодно	заодно'	at the same time	gemeinsam, einträchtig, zugleich, nebenbei
пошло	по'шло	vulgarly	flach
благополучно	благополу'чно	all right, well, happily	glücklich, gelungen, geglückt, wohlbehalten, reibungslos, günstig; blühend, prosperierend
густо	гу'сто	thickly, densely	dicht, dick; dickflüssig (z.B. Sahne "steif" geschlagen)
печально	печа'льно	sadly, regrettably, unfortunately	traurig, kummervoll; betrübt, wehmütig
научно	нау'чно	scientifically	wissenschaftlich, wissenschaftsbasiert, akademisch
нежно	не'жно	tenderly, delicately	zart, zärtlich
лениво	лени'во	lazily, idly	faul
открыто	откры'то	open, opened, openly, plainly	offen, aufrichtig
ежедневно	ежедне'вно	daily, every day	täglich, jeden Tag
успешно	успе'шно	successfully, well	erfolgreich, mit Erfolg
потихоньку	потихо'ньку	slowly, noiselessly, silently, on the sly, secretly, by stealth	leise, sacht, langsam, allmählich, nach und nach; heimlich, verstohlen
полно	полно'	fully; brim-full, full to the brim	voll
пристально	при'стально	fixedly, intently	unverwandt, durchdringend, angespannt
мрачно	мра'чно	grim, dark, bleak	finster, düster
сбоку	сбо'ку	from one side, on one side, at the side	seitlich, seitwärts, daneben, von der Seite
мм	мм		Millimeter
поди	поди'	I should not wonder, I dare say, just try	sicher, komm, geh
официально	официа'льно	officially	offiziell, amtlich
сухо	су'хо	it is dry, drily, coldly	trocken
равнодушно	равноду'шно	with indifference, indifferently	gleichgültig
горько	го'рько	bitterly	bitter, bitterlich
целиком	целико'м	whole, wholly, entirely	ganz, vollständig, vollkommen, voll und ganz
бесплатно	беспла'тно	free of charge, gratis	gratis
мирно	ми'рно	peacefully, in harmony	friedlich
нервно	не'рвно	nervously	nervös
отчаянно	отча'янно	desperately, awfully	verzweifelt
низко	ни'зко	low, basely, meanly, despicably	niedrig, tief; gemein, niederträchtig
терпеливо	терпели'во	patiently, with patience	geduldig
вдали	вдали'	in the distance, at a distance, far off	in der Ferne
глухо	глу'хо	deafly; dully, vaguely, in a muffled way (sound); out-of-the-way, remotely (place)	taub, dumpf, stimmlos (Ton); abgelegen, still (Ort)
пусто	пу'сто	be empty	leer
поперёк	поперёк	across	quer, quer über
восемьдесят	во'семьдесят	eighty	achtzig
бесшумно	бесшу'мно	quietly, silently, noiselessly	geräuschlos, lautlos
вплоть	вплоть	up to, right up to, down to	bis auf; bis zu; bis in; ganz dicht; in vollem Maße, so richtig; bis, bis hin zu, bis weit hinein ins ... (Jahrhundert)
шестнадцать	шестна'дцать	sixteen	sechzehn
повсюду	повсю'ду	everywhere, far and wide	überall
дружно	дру'жно	in a friendly manner, in friendly fashion, amicably, simultaneously, together, rapidly	in Freundschaft, in Eintracht, gemeinsam, mit vereinten Kräften, einmütig
изнутри	изнутри'	from within, on the inside	von innen, von der Mitte, aus den Tiefen von etwas
одинаково	одина'ково	equally	gleich, └ der / die / das ┘ gleiche ..., gleichartig, gleichermaßen
насквозь	наскво'зь	through, throughout	durch und durch, völlig
жадно	жа'дно	greedily, avidly	gierig; geizig
неважно	нева'жно	it is unimportant, never mind, not very well, poorly, indifferently	egal, es ist egal, das macht nichts aus; unwichtig, es hat keine Bedeutung
недостаточно	недоста'точно	it is insufficient, it is not enough, insufficiently	zu wenig
гордо	го'рдо	proudly	stolz
упорно	упо'рно	persistently	hartnäckig, beharrlich
вправо	впра'во	to the right	nach rechts
тьфу	тьфу		äks, pfui
попросту	по'просту	simply, without ceremony	einfach, ohne Umstände
мостовый	мостовый		n/a
устало	уста'ло	tiredly	müde, ermüdet
тесно	те'сно	tightly, narrowly, closely	eng
вправду	впра'вду	really, really and truly	wirklich, tatsächlich
издалёка	издалёка	from far away, from afar	von weitem, aus der Ferne
дорого	до'рого	expensive, dear, dearly	teuer
впрямь	впрямь	really, indeed	tatsächlich, in der Tat
ничуть	ничу'ть	not a bit	gar nicht, durchaus nicht, keineswegs
шумно	шу'мно	noisily	laut
людской	людско'й	human	Menschen-, menschlich, menschenwürdig
вплотную	вплотну'ю	close, in real earnest	ganz dicht; in vollem Maße, so richtig; ganz dicht an; ganz dicht an
активно	акти'вно	actively	aktiv, tätig
влево	вле'во	to the left	nach links
стоп	стоп	stop	Stop!
боковой	боково'й	lateral	seitlich, Seiten-
ура	ура'	hurrah	hurra, Hurra
снаружи	снару'жи	outside	außen, draußen, außerhalb, von außen
смело	сме'ло	boldly, bravely, fearlessly	kühn, tapfer, mutig, furchtlos, gewagt
удобно	удо'бно	it is convenient, it suits, it is proper, comfortably	bequem, günstig, geeignet, passend, angebracht, schicklich
самостоятельно	самостоя'тельно	independently, without assistance	selbständig, unabhängig, souverän
туго	ту'го	tight, with difficulty, slowly	fest, mühsam, schwer, langsam
виновато	винова'то	guiltily	schuldig, schuld (sein), schuldbewusst
вопреки	вопреки'	in spite of, despite, notwithstanding, against, in defiance of, regardless of, in the teeth of, contrary to	trotz; entgegen, gegen, wider, zuwider
сравнительно	сравни'тельно	comparatively	verhältnismäßig, relativ
живо	жи'во	vividly, strikingly, keenly, with animation, quick, promptly	lebend; lebendig (lebhaft, flink, ruck-zuck)
северо	северо	North	Nord-
пятьсот	пятьсо'т	five hundred	fünfhundert
пополам	попола'м	in two, half-and-half	entzwei, in zwei Hälften, halbpart, fifty-fifty
насмешливо	насме'шливо	derisively	spöttisch, höhnisch, spöttlustig
восемнадцать	восемна'дцать	eighteen	achtzehn
мучительно	мучи'тельно	painfully, agonizingly, excruciatingly	qualvoll
недаром	неда'ром	not for nothing, not without reason, not without purpose	nicht ohne Grund, nicht von ungefähr; nicht umsonst
противно	проти'вно	II, against	widerlich, abstoßend, ekelhaft, widerwärtig; entgegen
вс	вс		Sonntag; Oberster Rat; Streitkräfte
тревожно	трево'жно	anxious, uneasy, troubled, perturbed, worried, disturbed, disturbing	aufgeregt, beunruhigt, beunruhigend, unruhig
бесконечно	бесконе'чно	infinitely, extremely, endlessly, without end	unendlich, endlos, dauernd, fortwährend, ewig
трижды	три'жды	three times, thrice	3 x (in Multiplikationsaufgaben); dreimal, dreifach
пятеро	пя'теро	five	fünf; zu fünft
горячо	горячо'	hotly, with heat, warmly, with warmth	mit großem Eifer; heiß
внешне	вне'шне	outwardly, in outward appearance	äußerlich, dem Äußeren nach
ишь	ишь		na so was
круто	кру'то	super cool	steil, streng, hart; jäh, plötzlich; cool, toll, super
невероятно	невероя'тно	it is incredible, it is inconceivable, it is beyond belief, incredibly, inconceivably	unwahrscheinlich; unglaublich; unerhört
